ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Bikin Lambe Turah Diomelin, Nih Si Seksi yang Lengket-lengket sama Gading",13736,19.26996747,83593,6.042139501,21.79018875
facebook / cpc,Heboh! Kiki Farel Transfer Uang Jajan Rp 1 Juta ke Selebgram Mimi Peri,15909,62.30376277,74032,4.612010964,16.33055268
facebook / cpc,"Tak Sesuai Harapan, Barang Belanja Online Ini Bikin Ngakak",7748,30.93452003,54657,6.949396058,21.42933799
facebook / cpc,"Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",43893,6.966219492,47924,1.106559837,5.056396529
facebook / cpc,Melihat Kantor Pelayanan Grab Driver Center,41155,11.63021869,44072,43.80914513,180.944233
facebook / cpc,2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,28334,82.67170985,30570,1.080632048,123.5863009
facebook / cpc,Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,22885,81.56304729,24941,1.091987741,128.9258248
facebook / cpc,"Kabar Duka, Sys NS Meninggal Dunia",5180,12.71403267,24097,4.74257036,7.382171387
facebook / cpc,"Viral Wali Kota Mataram Tendang Satpol PP, Ini Cerita di Baliknya",23208,95.35126665,23989,1.044180378,189.9991929
facebook / cpc,Polisi Amankan Istri yang Jual Suami Demi Layanan Fantasi,21116,88.14420748,22642,1.075476179,147.9629891
facebook / cpc,"TNI AD Merasa Dilecehkan di Acara, Stasiun TV Swasta Minta Maaf",20685,88.72136851,22220,1.073741181,174.9909366
facebook / cpc,"Ramai Soal Gaya Rambut Pasha 'Ungu', Kemendagri akan Beri Teguran",5144,11.36886503,5602,1.074003067,9.408820513
facebook / cpc,"Sys NS Meninggal Dunia, Selamat Jalan!",4651,50,5557,44.1031746,77.22479339
facebook / cpc,Pasha 'Ungu' Digugat DPRD Palu karena Nyanyi di Singapura,4597,50,4839,268.8333333,80.59018906
facebook / cpc,"Gempa 6,4 SR Guncang Jakarta",3717,50,4220,78.14814815,256.0620985
facebook / cpc,Hijabers Cantik Ini Pakai Seragam Sekolah Naik Nissan GT-R,3448,86.34902075,3744,1.094416837,103.0573356
facebook / cpc,Video Truk Goyang dan Foto Jalan Retak Bukan Akibat Gempa Banten,3070,17.07077326,3430,1.123853211,14.56541726
facebook / cpc,Apakah Reza Artamevia Terlibat Pesta Seks Bersama Gatot?,395,0,2981,0,9.34890406
facebook / cpc,Begini Gaya Nyentrik Pasha 'Ungu' yang Menuai Kontroversi,2604,50,2918,81.05555556,111.4159292
facebook / cpc,Gempa Keras Guncang Jakarta,2316,39.74836906,2918,1.359739049,74.78128588
facebook / cpc,"Dinda Syarif Terganggu Soal Kiki Farel, Netizen: Sok Ngartis, Cari Sensasi",341,0,2334,0,20.49577068
facebook / cpc,Ini Gaya Rambut Pasha 'Ungu' yang Dianggap Langgar Etika,610,43.27731092,1939,4.073529412,37.60640427
facebook / cpc,"Ribuan Koleksi Mobil Sultan Brunei, Ini Mobil Terbaiknya",341,0,1742,96.77777778,38.06815115
facebook / cpc,Meme detikHOT: Dinda Syarif di Ganasnya Gerbong KRL Wanita,171,0,1535,170.5555556,8.363087248
facebook / cpc,"Bentrokan LPI-FPI Vs Warga Pamekasan, Ini kata Kapolda Jatim",1167,69.31818182,1356,1.540909091,101.5893271
facebook / cpc,Konsep Penataan Tanah Abang ala Anies Diprotes Sopir Angkot!,1212,40,1320,29.33333333,227.6656627
facebook / cpc,2 Pelajar yang Lempar Batu hingga Tewaskan 1 Orang di Yogya Mabuk,1194,66.66666667,1248,46.22222222,134.1511111
facebook / cpc,Sopir Angkot Bentangkan Spanduk Protes Penutupan Jalan Tanah Abang,1149,4.812834225,1221,1.088235294,4.344919786
facebook / cpc,Grab Gandeng Polisi Ungkap Kasus Driver Antar 'Tuyul' di Kota Lain,1059,63.42756184,1194,2.109540636,97.59893993
facebook / cpc,"Sebelum Mengantar 'Tuyul', Pengemudi Grab Ada yang Kerja di Bank",952,62.5,1167,16.20833333,108.2403004
facebook / cpc,Polisi Tangkap Kernet yang Perkosa Siswi SMK Hingga Punya Anak,1077,100,1158,32.16666667,116.6842105
