sourceMedium,pageTitle,users,bounceRate,pageviews,pageviewsPerSession,avgTimeOnPage,Topic Code,Probability,Topic
facebook / cpc,"Bikin Lambe Turah Diomelin, Nih Si Seksi yang Lengket-lengket sama Gading",13736.0,19.26996747,83593.0,6.042139501,21.79018875,-1,0.0,lainnya
facebook / cpc,Heboh! Kiki Farel Transfer Uang Jajan Rp 1 Juta ke Selebgram Mimi Peri,15909.0,62.30376277,74032.0,4.612010964,16.33055268,8,1.0,Kontroversi Selebriti
facebook / cpc,"Tak Sesuai Harapan, Barang Belanja Online Ini Bikin Ngakak",7748.0,30.93452003,54657.0,6.949396058,21.42933799,13,1.0,Humor Belanja
facebook / cpc,"Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",43893.0,6.966219492,47924.0,1.106559837,5.056396529,1,1.0,Razia Driver
facebook / cpc,Melihat Kantor Pelayanan Grab Driver Center,41155.0,11.63021869,44072.0,43.80914513,180.944233,1,0.9555691800312828,Razia Driver
facebook / cpc,2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,28334.0,82.67170985,30570.0,1.080632048,123.5863009,11,1.0,Pelajar Kriminal
facebook / cpc,Sultan Brunei Laporkan Kasus Pencemaran Nama Baik ke Polda Metro,22885.0,81.56304729,24941.0,1.091987741,128.9258248,14,1.0,Sultan Brunei
facebook / cpc,"Kabar Duka, Sys NS Meninggal Dunia",5180.0,12.71403267,24097.0,4.74257036,7.382171387,0,0.9893407896178412,Pemakaman Seniman
facebook / cpc,"Viral Wali Kota Mataram Tendang Satpol PP, Ini Cerita di Baliknya",23208.0,95.35126665,23989.0,1.044180378,189.9991929,7,0.4487960671041986,Hoax Gempa
facebook / cpc,Polisi Amankan Istri yang Jual Suami Demi Layanan Fantasi,21116.0,88.14420748,22642.0,1.075476179,147.9629891,10,1.0,Kejahatan Seksual
facebook / cpc,"TNI AD Merasa Dilecehkan di Acara, Stasiun TV Swasta Minta Maaf",20685.0,88.72136851,22220.0,1.073741181,174.9909366,9,1.0,TNI Felicya
facebook / cpc,"Ramai Soal Gaya Rambut Pasha 'Ungu', Kemendagri akan Beri Teguran",5144.0,11.36886503,5602.0,1.074003067,9.408820513,5,0.790430305983743,Gaya Artis
